predict_flag,true_flag,predicted_flag
['bb8baaebcd01d1adc594e315f2da278a04b0600a'],0.0,1.0
['0c0b13b554241ad4fac382ec8804a4d7b015e7ff'],0.0,1.0
"['4d791e48e9ae8d78ff60e28de110151d58f60f53', '5178a0047ae745b9c9b3766d99442f570ea5685e']",-1.0,0.0
"['31fb6d532b50551d75b073f9da8534e724a96912', '546df14335dc31ce7a1b6ace331f3dfccaba4f4e', '5cda809479e8038a668150f49739ec6dd82269cc', '84ff1aa54c04d4c708c55ea65220a18c434ad6e9']",-1.0,1.0
['60a44d102cb8c9121ded1e3e9f668b3115f61eb6'],-1.0,
['fb9ff5d93f0ec47912c632bbf698b4a7eb3e55bc'],1.0,1.0
['d89c44ee0c99a1c3ccbdd53ebea34af286b79e1c'],-1.0,1.0
"['c078b18406373fae4303ca2f4d5f5f451c55f367', 'd92cba775beb49817194c2db735ce4215d1f17ff']",1.0,1.0
['ddc0e0f944b989703c4ac7c86f42dec4feb8c5f9'],-1.0,0.0
['9a4e5fdaf749ebde579b0466d929d5896be2f798'],0.0,1.0
['3f6ec1144ca8b703b2c0abe9f943c48163195548'],0.0,1.0
['3e347ede902b6947e4f34668c057a598512c8d4f'],1.0,1.0
['8b71a8c7f029fa20cb888fed8192c3e5b8dfab55'],-1.0,1.0
['00b38b4a6fc66b5d4f7e82c1dbcb835433a62dd4'],0.0,0.0
['da7555caaf0125d943996d51b7d698e81a6ce1cb'],-1.0,1.0
"['90f06e16d17be12e80a12d172e14c83b73bb973e', 'a627386b19765b44145556f4a93ebcb1c78ed97e']",-1.0,0.0
['94878b8e3f3ce9c5182f4047eede1f7b3e75854d'],1.0,1.0
['bfa56cae331af39159b92233cceb0752a8092d5a'],1.0,1.0
['21da41e7e79a6b5f4d9b81380c7b9a162c5e8fd0'],0.0,1.0
"['9de40487ef91c25f6c57de814a14d1e0146e3cb9', '9de40487ef91c25f6c57de814a14d1e0146e3cb9']",-1.0,1.0
['e58e252753519d8c7eef6800ed5ac772136b3ba6'],-1.0,0.0
['d97350d044eda043b7b07be5aaf9781f16a8a6c8'],-1.0,
['28df9f1206e27daf78d67b89105afd0b1836defa'],-1.0,1.0
['f9203209ae67ef45d78fb62519e18fb8a57d5004'],-1.0,0.0
"['2e2ac2b1ac764924d432658c4e248f2f1db60bae', '3953effac5011d5b4e6b8c9899dcb8cd0870b0cf']",1.0,
['bdca69ee017eda59ded353b956759997207929c3'],-1.0,
['a379400228e4632ea27270b87c9536b4d18c68ae'],1.0,0.0
"['46cebdaa4906cdd642c524fe9effb404bd725d3e', 'b90a940f6fd82b6417cd08fd3f11c283b31cea8f', 'de419339662ebc4dfb873e5288b92fddd7d8d113']",1.0,1.0
['59378348a250ae45794e85fa20411135143e3075'],-1.0,
['48d0ae94472d71b0a1cd83b59c7676362ada007d'],-1.0,1.0
['75dc0661011afdc7e64970c875badece42191443'],-1.0,1.0
['1935caf7515f02fc5b1f91e13488a19ad035b03c'],-1.0,
['22db072c0c4907562b3fa0253dcc328c30d180a0'],1.0,1.0
['3876e54754cd02b8007344c2726e33d9d45155d1'],1.0,1.0
['a761e670d7989fd24052cab9490da9b8508d582c'],1.0,1.0
['738591f9d52539f63e93f18ae8157eee8394d2ea'],1.0,1.0
['f8245d3190c98998a2cd5bdda1964146f8e1e607'],1.0,0.0
['b70ce6966c17724304cff0c4912d16586f3d44dd'],1.0,0.0
['247d9eb76df88fea9a15b99a0b22252a38f9503e'],1.0,1.0
['e24448b91e8b5bbe4599d50181a7c342a070ad2e'],1.0,1.0
['da3e9cf20e31b107eaa2b905de74803549508be8'],-1.0,1.0
['af0e2a06a4d882b38db933c29c0a5c7001fc86ab'],-1.0,1.0
['a2ef153f220b3d6ebd738ad5cc1bb77db453688e'],-1.0,
['bc7c8a64765a58ecb80652ae381cac9f4a0ec770'],-1.0,
"['0c878f3bf6d39de2a0f47dcaf855316260c801f1', '84dc4093f1fe1fa6d59b536575a60881a3759294']",0.0,0.0
['d639a2e3b8a761381505a09920edaeccaa5aa1aa'],1.0,1.0
